user_id,offer_id,hotel_name,partner_name,optimal_rank,is_hidden,expected_clicks,conversion_probability,reconversion_probability,price_per_night,user_satisfaction_score,trivago_income,user_satisfaction,partner_conversion_value,total_objective
U000015,O000037,Williams and Sons Suites,Orbitz,1,False,1.0,0.8955,0.6268499999999999,255.62,8.099,22.890771,8.099,228.90771,80.2583214
U000015,O000003,Rodriguez Figueroa and Sanchez Suites,Agoda,2,False,0.7692307692307692,0.9068,0.63476,222.3,8.099,15.50628,8.099,155.0628,55.15105200000001
U000015,O000039,Berlin Plaza Suites,Orbitz,3,False,0.625,0.9238,0.6466599999999999,64.32,8.099,3.7136759999999995,8.099,37.136759999999995,15.0561984
U000040,O000037,Williams and Sons Suites,Orbitz,1,False,1.0,0.7224,0.50568,255.62,6.159,18.465988800000005,6.159,184.65988800000002,64.63206192000001
U000040,O000003,Rodriguez Figueroa and Sanchez Suites,Agoda,2,False,0.7692307692307692,0.7563,0.5294099999999999,222.3,6.159,12.93273,6.159,129.32729999999998,45.81898199999999
U000040,O000039,Berlin Plaza Suites,Orbitz,3,False,0.625,0.8855,0.6198499999999999,64.32,6.159,3.55971,6.159,35.5971,13.950713999999998
U000039,O000037,Williams and Sons Suites,Orbitz,1,False,1.0,0.7875,0.5512499999999999,255.62,6.812,20.130075,6.812,201.30075,70.48585499999999
U000039,O000003,Rodriguez Figueroa and Sanchez Suites,Agoda,2,False,0.7692307692307692,0.8324,0.58268,222.3,6.812,14.234039999999998,6.812,142.3404,50.439336
U000039,O000039,Berlin Plaza Suites,Orbitz,3,False,0.625,0.9097,0.63679,64.32,6.812,3.6569939999999996,6.812,36.569939999999995,14.477379599999997
U000041,O000037,Williams and Sons Suites,Orbitz,1,False,1.0,0.7104,0.49728,255.62,6.356999999999999,18.159244800000003,6.356999999999999,181.59244800000002,63.64853232
U000041,O000003,Rodriguez Figueroa and Sanchez Suites,Agoda,2,False,0.7692307692307692,0.7577,0.53039,222.3,6.356999999999999,12.956669999999999,6.356999999999999,129.5667,45.959778
U000041,O000039,Berlin Plaza Suites,Orbitz,3,False,0.625,0.8712,0.6098399999999999,64.32,6.356999999999999,3.5022239999999996,6.356999999999999,35.02224,13.814661599999997
U000037,O000028,Bangkok Silver Lodge,Priceline,1,False,1.0,0.6426,0.44981999999999994,331.2,6.3715,21.282912,6.3715,212.82912,74.2733508
U000037,O000002,Bangkok Park Inn,Booking.com,2,False,0.7692307692307692,0.8963,0.6274099999999999,90.0,6.3715,6.205153846153846,6.3715,62.05153846153845,23.008973076923073
U000013,O000028,Bangkok Silver Lodge,Priceline,1,False,1.0,0.7172,0.5020399999999999,331.2,6.4685,23.753663999999997,6.4685,237.53663999999998,82.70300759999999
U000013,O000002,Bangkok Park Inn,Booking.com,2,False,0.7692307692307692,0.9209,0.64463,90.0,6.4685,6.375461538461539,6.4685,63.754615384615384,23.617119230769234
U000046,O000028,Bangkok Silver Lodge,Priceline,1,False,1.0,0.8377,0.58639,331.2,7.662,27.744624,7.662,277.44624,96.63032159999999
U000046,O000002,Bangkok Park Inn,Booking.com,2,False,0.7692307692307692,0.9352,0.65464,90.0,7.662,6.474461538461539,7.662,64.74461538461539,24.311769230769233
U000047,O000028,Bangkok Silver Lodge,Priceline,1,False,1.0,0.6289,0.44022999999999995,331.2,6.101,20.829168,6.101,208.29167999999999,72.6494712
U000047,O000002,Bangkok Park Inn,Booking.com,2,False,0.7692307692307692,0.9028,0.63196,90.0,6.101,6.250153846153847,6.101,62.50153846153846,23.080823076923075
U000031,O000027,Abbott-Munoz Inn,Otel.com,1,False,1.0,0.8859,0.62013,109.87,6.994,9.7333833,6.994,97.33383300000001,35.19170322
U000031,O000041,Amsterdam Palace Suites,Travelocity,2,False,0.7692307692307692,0.9007,0.6304899999999999,84.01,6.994,5.820600538461538,6.994,58.20600538461538,21.88824183076923
U000031,O000026,Amsterdam Garden Inn,Venere,3,False,0.625,0.906,0.6342,62.17,6.994,3.5203762500000004,6.994,35.2037625,14.06747925
U000021,O000027,Abbott-Munoz Inn,Otel.com,1,False,1.0,0.9019,0.63133,109.87,7.307,9.909175300000001,7.307,99.09175300000001,35.88329602
U000021,O000041,Amsterdam Palace Suites,Travelocity,2,False,0.7692307692307692,0.9307,0.6514899999999999,84.01,7.307,6.01446976923077,7.307,60.144697692307695,22.641297215384615
U000021,O000026,Amsterdam Garden Inn,Venere,3,False,0.625,0.9231,0.64617,62.17,7.307,3.5868204375,7.307,35.868204375,14.387289487499999
U000028,O000027,Abbott-Munoz Inn,Otel.com,1,False,1.0,0.9279,0.6495299999999999,109.87,8.1105,10.1948373,8.1105,101.948373,37.09559682
U000028,O000041,Amsterdam Palace Suites,Travelocity,2,False,0.7692307692307692,0.9433,0.66031,84.01,8.1105,6.095894846153846,8.1105,60.95894846153846,23.159192476923074
U000028,O000026,Amsterdam Garden Inn,Venere,3,False,0.625,0.9125,0.6387499999999999,62.17,8.1105,3.5456328125000005,8.1105,35.456328125,14.488301562499998
U000043,O000027,Abbott-Munoz Inn,Otel.com,1,False,1.0,0.8963,0.6274099999999999,109.87,7.393000000000001,9.8476481,7.393000000000001,98.476481,35.69990354
U000043,O000041,Amsterdam Palace Suites,Travelocity,2,False,0.7692307692307692,0.9316,0.6521199999999999,84.01,7.393000000000001,6.020285846153846,7.393000000000001,60.20285846153846,22.686871876923078
U000043,O000026,Amsterdam Garden Inn,Venere,3,False,0.625,0.9239,0.64673,62.17,7.393000000000001,3.5899289375000007,7.393000000000001,35.899289375,14.4236583875
